S|N,source,link,date
1,Punch Newspapers,https://punchng.com/banditry-kidnapping-affecting-learning-teaching-don/,2019 July 23
2,Punch Newspapers,https://punchng.com/army-begins-three-exercises-to-tackle-kidnapping-banditry/,2021 August 13
3,Punch Newspapers,https://punchng.com/i-felt-peace-on-arrival-in-us-knowing-there-wont-be-banditry-kidnapping-nworie-first-class-unn-graduate-who-got-phd-scholarship/,2021 September 04
4,Punch Newspapers,https://punchng.com/enough-of-bloodbath-kidnappings-banditry-clergy-pleads/,2021 August 16
5,Punch Newspapers,https://punchng.com/troops-winning-war-against-banditry-kidnapping-in-zamfara-coas/,2021 May 27
6,Punch Newspapers,https://punchng.com/tackle-kidnapping-banditry-pdp-tells-apc/,2021 January 25
7,Punch Newspapers,https://punchng.com/eid-make-sacrifices-to-end-kidnapping-banditry-bauchi-speaker-tells-nigerians/,2021 March 06
8,Punch Newspapers,https://punchng.com/weve-reduced-kidnapping-banditry-with-nin-says-pantami/,
9,Punch Newspapers,https://punchng.com/eid-buhari-asks-nigerians-to-pray-against-banditry-kidnapping/,
10,Punch Newspapers,https://punchng.com/buhari-mourns-slain-kaduna-students-vows-to-fight-banditry-kidnapping/,
11,Punch Newspapers,https://punchng.com/50-armed-herdsmen-arrested-nscdc-alleges-banditry-kidnapping-others/,2016 April 04
12,Punch Newspapers,https://punchng.com/how-those-in-power-are-fuelling-banditry-kidnapping-bishop-kukah/,2016 July 26
13,Punch Newspapers,https://punchng.com/multi-agency-approach-needed-to-combat-banditry-kidnapping-nscdc-boss/,
14,Punch Newspapers,https://punchng.com/nigerians-must-join-govt-against-banditry-kidnapping-jonathan/,2020 January 08
15,Punch Newspapers,https://punchng.com/zamfara-cp-vows-to-end-banditry-kidnapping/,2017 June 22
16,Punch Newspapers,https://punchng.com/banditry-kidnapping-still-big-issues-in-kaduna-el-rufai/,2019 October 04
17,Punch Newspapers,https://punchng.com/bharam-crisis-fuelling-kidnapping-banditry-says-makinde/,2020 March 28
18,Punch Newspapers,https://punchng.com/buhari-has-not-helped-katsina-to-end-banditry-kidnapping-killings-state-csos-coalition-chairman/,2020 January 09
19,Punch Newspapers,https://punchng.com/buhari-orders-improved-response-to-kidnapping-banditry/,2019 October 27
20,Punch Newspapers,https://punchng.com/el-rufai-lawmakers-monarchs-meet-over-kidnapping-banditry/,2019 October 04
21,Punch Newspapers,https://punchng.com/el-rufai-lawmakers-monarchs-meet-over-kidnapping-banditry-in-kaduna/,2019 February 06
22,Punch Newspapers,https://punchng.com/zamfara-assembly-to-make-banditry-kidnapping-capital-offence/,2019 May 16
23,Punch Newspapers,https://punchng.com/im-working-to-end-banditry-kidnapping-buhari-tells-govs/,2019 May 21
24,Punch Newspapers,https://punchng.com/im-working-on-ending-banditry-kidnappings-in-north-buhari-tells-govs/,2019 April 11
25,Punch Newspapers,https://punchng.com/nasarawall-partner-benue-to-tackle-banditry-kidnapping-gov-elect/,
26,Punch Newspapers,https://punchng.com/banditry-kidnappings-are-no-tests-from-allah-shehu-sani-tells-aso-rock-imam/,2019 May 08
27,Punch Newspapers,https://punchng.com/senate-grills-ig-over-banditry-kidnapping/,
28,Punch Newspapers,https://punchng.com/ramadan-pray-against-killings-banditry-kidnappings-dogara-charges-muslims/,2017 February 16
29,Punch Newspapers,https://punchng.com/insecurity-senate-summons-ig-over-killings-kidnappings-banditry/,2019 February 11
30,Punch Newspapers,https://punchng.com/dg-dss-calls-for-inter-agency-synergy-against-kidnapping-banditry/,2018 September 20
31,Punch Newspapers,https://punchng.com/nigerians-groaning-in-the-jaw-of-banditry-kidnapping-ethnic-clashes-after-polls/,2019 April 13
32,Punch Newspapers,https://punchng.com/ig-launches-operation-against-kidnapping-banditry-in-kogi-niger/,2019 February 11
33,Punch Newspapers,https://punchng.com/nomadic-education-commission-boss-laments-bandits-attacks-workers-kidnapping/,
34,Punch Newspapers,https://punchng.com/attackers-killed-my-father-in-his-sleep-after-he-rescued-kidnap-victims-son-of-slain-gombe-anti-kidnapping-commander/,2021 October 30
35,Punch Newspapers,https://punchng.com/stop-branding-terrorism-as-banditry-akeredolu-warns/,2020 September 28
36,Punch Newspapers,https://punchng.com/no-president-addressing-terrorism-kidnapping-herdsmen-ipob-like-buhari-presidency/,2020 December 22
37,Punch Newspapers,https://punchng.com/ransom-payment-difficult-to-stop-killing-bandits-with-tucano-jets-solution-to-kidnappings-namdas-house-army-cttee-chair/,2021 October 24
38,Punch Newspapers,https://punchng.com/nigeria-fighting-banditry-with-funds-meant-for-infrastructure-uzodinma/,
